"Kjøpsdato";"Posteringsdato";"Beskrivelse";"Beløp"
"2022-08-30";"2022-08-31";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-43,67"
"2022-08-30";"2022-08-31";"Innbetaling";"1500,10"
"2022-08-26";"2022-08-29";"BK BYSTASJ 5022, BERGEN, NOR";"-153,00"
"2022-08-26";"2022-08-29";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-160,30"
"2022-08-25";"2022-08-26";"SIBKAFE HIBKRON, BERGEN, NOR";"-68,85"
"2022-08-24";"2022-08-25";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-465,90"
"2022-08-23";"2022-08-25";"KIWI 803 KRONST, Bergen, NOR";"-84,04"
"2022-08-23";"2022-08-24";"WEBHUSET AS, Bergen, NOR";"-1061,25"
"2022-08-21";"2022-08-22";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-101,30"
"2022-08-20";"2022-08-22";"KIWI 803 KRONST, Bergen, NOR";"-315,60"
"2022-08-20";"2022-08-22";"AS WALKENDORFF, BERGEN, NOR";"-198,00"
"2022-08-20";"2022-08-22";"KAOS, Bergen, NOR";"-88,00"
"2022-08-20";"2022-08-22";"HEIDIS BIER BAR, Bergen, NOR";"-105,00"
"2022-08-20";"2022-08-22";"HEIDIS BIER BAR, Bergen, NOR";"-90,00"
"2022-08-20";"2022-08-22";"HEIDIS BIER BAR, Bergen, NOR";"-430,00"
"2022-08-20";"2022-08-22";"LILLE, BERGEN, NOR";"-150,00"
"2022-08-20";"2022-08-22";"Teknikmagasinet, Bergen, NOR";"-301,00"
"2022-08-20";"2022-08-22";"Ryde Technology AS, Oslo, NOR";"-40,00"
"2022-08-20";"2022-08-22";"STAMINA TRENING, OSLO, NOR";"-379,00"
"2022-08-19";"2022-08-22";"Jysk BTK 576, Bergen, NOR";"-2921,00"
"2022-08-19";"2022-08-19";"Innbetaling";"6817,82"
"2022-08-18";"2022-08-19";"Innbetaling";"3768,14"
"2022-08-17";"2022-08-18";"AS WALKENDORFF, BERGEN, NOR";"-99,00"
"2022-08-16";"2022-08-18";"KIWI 803 KRONST, Bergen, NOR";"-303,20"
"2022-08-16";"2022-08-16";"TicketCo AS, Bergen, NOR";"-2000,00"
"2022-08-16";"2022-08-16";"TicketCo AS, Bergen, NOR";"-1600,00"
"2022-08-15";"2022-08-17";"KIWI 803 KRONST, Bergen, NOR";"-386,00"
"2022-08-15";"2022-08-16";"154 KID INTERI?, Bergen, NOR";"-399,90"
"2022-08-14";"2022-08-15";"BURGER KIN 5003, BERGEN, NOR";"-163,00"
"2022-08-14";"2022-08-15";"KLUBB KOK, BERGEN, NOR";"-69,00"
"2022-08-14";"2022-08-15";"KLUBB KOK, BERGEN, NOR";"-69,00"
"2022-08-14";"2022-08-15";"KLUBB KOK, BERGEN, NOR";"-227,00"
"2022-08-13";"2022-08-15";"KLUBB KOK, BERGEN, NOR";"-326,00"
"2022-08-13";"2022-08-15";"KLUBB KOK, BERGEN, NOR";"-296,00"
"2022-08-13";"2022-08-15";"KIWI 803 KRONST, Bergen, NOR";"-181,50"
"2022-08-13";"2022-08-15";"KIWI 803 KRONST, Bergen, NOR";"-522,80"
"2022-08-13";"2022-08-15";"KLUBB KOK, BERGEN, NOR";"-40,00"
"2022-08-12";"2022-08-15";"REMA GYLDENPRIS, Bergen, NOR";"-67,50"
"2022-08-10";"2022-08-11";"HYRE AS* BID:538721, OSLO, NOR";"-226,80"
"2022-08-10";"2022-08-12";"KIWI 803 KRONST, Bergen, NOR";"-185,80"
"2022-08-07";"2022-08-08";"HYRE AS* BID:538721, OSLO, NOR";"-100,00"
"2022-08-05";"2022-08-08";"KIWI 803 KRONST, Bergen, NOR";"-184,94"
"2022-08-05";"2022-08-08";"REMA GYLDENPRIS, Bergen, NOR";"-127,58"
"2022-08-04";"2022-08-08";"KIWI 803 KRONST, Bergen, NOR";"-120,80"
"2022-08-04";"2022-08-05";"Innbetaling";"6000,37"
"2022-08-03";"2022-08-04";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-198,60"
"2022-08-02";"2022-08-03";"Vipps*Sara Gjerde Lars, Oslo, NOR";"-600,00"
"2022-08-02";"2022-08-04";"KIWI 803 KRONST, Bergen, NOR";"-307,40"
"2022-08-01";"2022-08-03";"JOKER, Bergen, NOR";"-175,50"
"2022-08-01";"2022-08-03";"REMA GYLDENPRIS, Bergen, NOR";"-15,30"
"2022-08-01";"2022-08-03";"REMA GYLDENPRIS, Bergen, NOR";"-57,43"
"2022-08-01";"2022-08-01";"Omkostninger Penger tilbake";"-10,00"
"2022-07-30";"2022-08-01";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-260,94"
"2022-07-29";"2022-08-01";"BUNNPRIS, Bergen, NOR";"-53,40"
"2022-07-29";"2022-08-01";"JOKER, Bergen, NOR";"-175,30"
"2022-07-28";"2022-08-01";"JOKER, Bergen, NOR";"-222,50"
"2022-07-29";"2022-07-29";"Innbetaling";"3500,55"
"2022-07-27";"2022-07-28";"MATKROKEN BLEKENBERG 8, BERGEN, NOR";"-244,50"
"2022-07-27";"2022-07-28";"SOLHEIMSVIKEN, Bergen, NOR";"-25,00"
"2022-07-27";"2022-07-27";"Vipps*Hakon Mydland, Oslo, NOR";"-500,00"
"2022-07-26";"2022-07-27";"MATKROKEN BLEKENBERG 8, BERGEN, NOR";"-236,50"
"2022-07-25";"2022-07-27";"JOKER, Bergen, NOR";"-103,60"
"2022-07-23";"2022-07-25";"MATKROKEN BLEKENBERG 8, BERGEN, NOR";"-359,20"
"2022-07-22";"2022-07-25";"EXTRA HAKONSGATEN, BERGEN, NOR";"-53,16"
"2022-07-21";"2022-07-21";"Ryde Technology AS, Oslo, NOR";"-20,00"
"2022-07-21";"2022-07-21";"Ryde Technology AS, Oslo, NOR";"-22,50"
"2022-07-21";"2022-07-21";"FAMILY SPORTS CLUB AS";"-299,00"
"2022-07-21";"2022-07-21";"Omkostninger regningsbetaling";"-27,99"
"2022-07-20";"2022-07-21";"MATKROKEN BLEKENBERG 8, BERGEN, NOR";"-331,20"
"2022-07-20";"2022-07-21";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2022-07-19";"2022-07-20";"MATKROKEN BLEKENBERG 8, BERGEN, NOR";"-357,00"
"2022-07-19";"2022-07-20";"4219 EXTRA BERGEN STOR, BERGEN, NOR";"-40,80"
"2022-07-16";"2022-07-18";"JOKER, Bergen, NOR";"-241,60"
"2022-07-16";"2022-07-18";"Ryde Technology AS, Oslo, NOR";"-27,50"
"2022-07-15";"2022-07-18";"MCD 018, BERGEN, NOR";"-82,00"
"2022-07-14";"2022-07-15";"Innbetaling";"3500,17"
"2022-07-10";"2022-07-11";"BERGEN TAXI AS, KOKSTAD, NOR";"-256,00"
"2022-07-09";"2022-07-11";"JOKER, Bergen, NOR";"-652,50"
"2022-07-09";"2022-07-11";"Ryde Technology AS, Oslo, NOR";"-15,00"
"2022-07-05";"2022-07-06";"Ryde Technology AS, Oslo, NOR";"-17,50"
"2022-07-05";"2022-07-06";"Ryde Technology AS, Oslo, NOR";"-20,00"
"2022-07-05";"2022-07-06";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-100,00"
"2022-07-05";"2022-07-06";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-93,10"
"2022-07-04";"2022-07-05";"BUNNPRIS, Bergen, NOR";"-245,07"
"2022-07-04";"2022-07-04";"Vipps*Skyss Mobillett, Oslo, NOR";"-2265,00"
"2022-07-04";"2022-07-04";"Vipps*Hakon Mydland, Oslo, NOR";"-1000,00"
"2022-07-04";"2022-07-04";"Vipps*Daniel Orlando A, Oslo, NOR";"-300,00"
"2022-07-03";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-144,00"
"2022-07-02";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-20,00"
"2022-07-02";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-148,00"
"2022-07-02";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-197,00"
"2022-07-02";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-245,00"
"2022-07-02";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-144,00"
"2022-07-01";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-148,00"
"2022-07-01";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-340,00"
"2022-07-01";"2022-07-04";"PALMESUS, KRISTIANSAND, NOR";"-386,00"
"2022-07-01";"2022-07-01";"Innbetaling";"7000,84"
"2022-07-01";"2022-07-01";"Omkostninger Penger tilbake";"-10,00"
"2022-06-27";"2022-06-28";"Ryde Technology AS, Oslo, NOR";"-17,50"
"2022-06-19";"2022-06-20";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2022-06-18";"2022-06-20";"Ryde Technology AS, Oslo, NOR";"-42,50"
"2022-06-17";"2022-06-20";"Vipps*Hakon Mydland, Oslo, NOR";"-740,00"
"2022-06-17";"2022-06-20";"REMA WERGELAND, Bergen, NOR";"-559,49"
"2022-06-16";"2022-06-20";"REMA WERGELAND, Bergen, NOR";"-160,60"
"2022-06-15";"2022-06-16";"BUNNPRIS, Bergen, NOR";"-8,52"
"2022-06-15";"2022-06-16";"SKORINGEN GALLE, Bergen, NOR";"-299,00"
"2022-06-15";"2022-06-16";"4219 EXTRA BERGEN STOR, BERGEN, NOR";"-68,30"
"2022-06-15";"2022-06-16";"NO1023, Bergen, NOR";"-268,00"
"2022-06-15";"2022-06-15";"Vipps*Skyss Mobillett, Oslo, NOR";"-140,00"
"2022-06-13";"2022-06-14";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-203,05"
"2022-06-13";"2022-06-14";"CLAS OHL 2825, BERGEN, NOR";"-179,90"
"2022-06-11";"2022-06-13";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-232,30"
"2022-06-11";"2022-06-13";"MENY SLETTEN, Bergen, NOR";"-268,80"
"2022-06-10";"2022-06-13";"REMA WERGELAND, Bergen, NOR";"-264,17"
"2022-06-10";"2022-06-13";"ZTL*Gymspot X AS, BERGEN, NOR";"-943,20"
"2022-06-10";"2022-06-13";"618 EUROPRIS XH, BERGEN, NOR";"-149,40"
"2022-06-09";"2022-06-13";"SUBWAY, BERGEN, NOR";"-162,99"
"2022-06-08";"2022-06-09";"SPORT 1 XHIBITI, Bergen, NOR";"-468,00"
"2022-06-07";"2022-06-08";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-363,10"
"2022-06-07";"2022-06-07";"Vipps*Skyss Mobillett, Oslo, NOR";"-140,00"
"2022-06-04";"2022-06-07";"Vipps*Skyss Mobillett, Oslo, NOR";"-40,00"
"2022-06-04";"2022-06-07";"REMA WERGELAND, Bergen, NOR";"-532,38"
"2022-06-04";"2022-06-07";"Vipps*Skyss Mobillett, Oslo, NOR";"-40,00"
"2022-06-03";"2022-06-03";"Ryde Technology AS, Oslo, NOR";"-15,00"
"2022-06-03";"2022-06-03";"Ryde Technology AS, Oslo, NOR";"-15,00"
"2022-06-03";"2022-06-07";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-171,64"
"2022-06-02";"2022-06-03";"Wider?e 7012130313685, Bodo, NOR";"-2797,00"
"2022-06-01";"2022-06-01";"Omkostninger Penger tilbake";"-10,00"
"2022-06-01";"2022-06-01";"Omkostninger overtrekk";"-70,00"
"2022-06-01";"2022-06-02";"Innbetaling";"10000,17"
"2022-05-27";"2022-05-30";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-177,60"
"2022-05-27";"2022-05-30";"SIBKAFE HIBKRON, BERGEN, NOR";"-92,24"
"2022-05-26";"2022-05-27";"COCA-COLA ENTERPRISES, LORENSKOG, NOR";"-32,00"
"2022-05-22";"2022-05-24";"REMA WERGELAND, Bergen, NOR";"-119,16"
"2022-05-21";"2022-05-23";"COCA-COLA ENTERPRISES, LORENSKOG, NOR";"-25,00"
"2022-05-21";"2022-05-23";"LOULOU BERGEN, Bergen, NOR";"-300,00"
"2022-05-21";"2022-05-23";"LOULOU BERGEN, Bergen, NOR";"-350,00"
"2022-05-21";"2022-05-23";"LOULOU BERGEN, Bergen, NOR";"-150,00"
"2022-05-21";"2022-05-23";"Vipps*Rich Alexander M, Oslo, NOR";"-100,00"
"2022-05-20";"2022-05-23";"REMA WERGELAND, Bergen, NOR";"-22,40"
"2022-05-20";"2022-05-23";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2022-05-19";"2022-05-30";"SvE*IPHONEHUSET.NO, KALMAR, NOR";"-458,00"
"2022-05-19";"2022-05-23";"REMA WERGELAND, Bergen, NOR";"-124,60"
"2022-05-19";"2022-05-20";"Vipps*Hakon Mydland, Oslo, NOR";"-600,00"
"2022-05-19";"2022-05-20";"SIBKAFE HIBKRON, BERGEN, NOR";"-87,60"
"2022-05-18";"2022-05-20";"REMA WERGELAND, Bergen, NOR";"-159,38"
"2022-05-18";"2022-05-19";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-05-17";"2022-05-18";"PIZZABAKEREN MI, BERGEN, NOR";"-234,00"
"2022-05-16";"2022-05-18";"REMA WERGELAND, Bergen, NOR";"-745,61"
"2022-05-16";"2022-05-18";"BK BYSTASJ 5022, BERGEN, NOR";"-127,00"
"2022-05-16";"2022-05-18";"DRESSMANN 199, Bergen, NOR";"-839,30"
"2022-05-15";"2022-05-16";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-54,20"
"2022-05-14";"2022-05-16";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-684,52"
"2022-05-13";"2022-05-16";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-05-12";"2022-05-13";"HOPE MATSENTER, Bergen, NOR";"-21,50"
"2022-05-12";"2022-05-13";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-396,90"
"2022-05-12";"2022-05-13";"SIBKAFE HIBKRON, BERGEN, NOR";"-91,80"
"2022-05-11";"2022-05-12";"NITO, Oslo, NOR";"-350,00"
"2022-05-11";"2022-05-12";"HOPE MATSENTER, Bergen, NOR";"-35,24"
"2022-05-10";"2022-05-11";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-316,91"
"2022-05-06";"2022-05-09";"Innbetaling";"15432,70"
"2022-05-05";"2022-05-06";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-310,32"
"2022-05-05";"2022-05-06";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-52,90"
"2022-05-04";"2022-05-05";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-101,90"
"2022-05-04";"2022-05-05";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2022-05-02";"2022-05-03";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-139,56"
"2022-05-02";"2022-05-03";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2022-05-02";"2022-05-02";"Omkostninger Penger tilbake";"-10,00"
"2022-04-30";"2022-05-02";"HOPE MATSENTER, Bergen, NOR";"-365,80"
"2022-04-29";"2022-05-02";"SIBKAFE HIBKRON, BERGEN, NOR";"-41,75"
"2022-04-29";"2022-05-02";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2022-04-22";"2022-05-06";"HOPE MATSENTER, Bergen, NOR";"-620,20"
"2022-04-28";"2022-04-29";"INFLIGHT SERVICES WIDE, KISTA, SWE";"-60,00"
"2022-04-28";"2022-04-29";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2022-04-27";"2022-04-28";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-75,28"
"2022-04-27";"2022-04-28";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2022-04-26";"2022-04-27";"HOPE MATSENTER, Bergen, NOR";"-85,52"
"2022-04-25";"2022-04-27";"REMA WERGELAND, Bergen, NOR";"-113,60"
"2022-04-25";"2022-04-26";"Vipps*Skyss Mobillett, Oslo, NOR";"-455,00"
"2022-04-25";"2022-04-26";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2022-04-24";"2022-04-25";"PIZZABAKEREN MI, BERGEN, NOR";"-234,00"
"2022-04-24";"2022-04-25";"Vipps*Hakon Mydland, Oslo, NOR";"-50,00"
"2022-04-23";"2022-04-25";"REMA WERGELAND, Bergen, NOR";"-181,50"
"2022-04-23";"2022-04-25";"MENY SLETTEN, Bergen, NOR";"-30,10"
"2022-04-23";"2022-04-25";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-1230,40"
"2022-04-22";"2022-04-25";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-174,40"
"2022-04-22";"2022-04-22";"Vipps*Sara Gjerde Lars, Oslo, NOR";"-250,00"
"2022-04-21";"2022-04-22";"SIB KAFFEBAR BI, BERGEN, NOR";"-52,15"
"2022-04-21";"2022-04-21";"Vipps*Hakon Mydland, Oslo, NOR";"-2400,00"
"2022-04-20";"2022-04-22";"REMA LEKNES_NY, Leknes, NOR";"-26,49"
"2022-04-20";"2022-04-21";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2022-04-19";"2022-04-19";"Vipps*Hakon Mydland, Oslo, NOR";"-880,00"
"2022-04-15";"2022-04-19";"Innbetaling";"8000,35"
"2022-04-14";"2022-04-19";"AKSJEREISEN, LEVANGER, NOR";"-2790,00"
"2022-04-13";"2022-04-19";"kryptosekken.no, SVARTSKOG, NOR";"-500,00"
"2022-04-12";"2022-04-13";"BUNNPRIS, Ramberg, NOR";"-188,33"
"2022-04-11";"2022-04-12";"BUNNPRIS, Ramberg, NOR";"-17,71"
"2022-04-07";"2022-04-08";"SAN MARINO PIZZ, Bergen, NOR";"-353,00"
"2022-04-07";"2022-04-08";"SIB KAFFEBAR BI, BERGEN, NOR";"-49,60"
"2022-04-06";"2022-04-07";"SIBKAFE HIBKRON, BERGEN, NOR";"-96,35"
"2022-04-05";"2022-04-06";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-149,10"
"2022-04-05";"2022-04-06";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-04-04";"2022-04-05";"Billettservice AS, Oslo, NOR";"-1679,00"
"2022-04-04";"2022-04-05";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-04-04";"2022-04-05";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-188,60"
"2022-04-01";"2022-04-04";"Vipps*Hakon Mydland, Oslo, NOR";"-1000,00"
"2022-04-01";"2022-04-04";"SIBKAFE HIBKRON, BERGEN, NOR";"-96,35"
"2022-04-01";"2022-04-01";"Omkostninger Penger tilbake";"-10,00"
"2022-03-30";"2022-04-01";"REMA WERGELAND, Bergen, NOR";"-106,90"
"2022-03-30";"2022-03-31";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-03-29";"2022-03-31";"KIWI 818 B?HMER, Bergen, NOR";"-43,80"
"2022-03-28";"2022-03-29";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-252,27"
"2022-03-28";"2022-03-29";"SIBKAFE HIBKRON, BERGEN, NOR";"-96,60"
"2022-03-27";"2022-03-28";"Vipps*Viktor Munch San, Oslo, NOR";"-150,00"
"2022-03-27";"2022-03-28";"BURGER KIN 5003, BERGEN, NOR";"-235,00"
"2022-03-26";"2022-03-28";"EXTRA HAKONSGATEN, BERGEN, NOR";"-62,80"
"2022-03-25";"2022-03-28";"Vipps*Stian Skaar, Oslo, NOR";"-92,00"
"2022-03-25";"2022-03-28";"HOPE MATSENTER, Bergen, NOR";"-440,10"
"2022-03-25";"2022-03-28";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-03-24";"2022-03-25";"SIBKAFE HIBKRON, BERGEN, NOR";"-39,10"
"2022-03-24";"2022-03-25";"SIB KAFFEBAR BI, BERGEN, NOR";"-49,60"
"2022-03-24";"2022-03-25";"Ryde Technology AS, Oslo, NOR";"-25,00"
"2022-03-23";"2022-03-24";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-411,54"
"2022-03-23";"2022-03-24";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-03-20";"2022-03-21";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2022-03-19";"2022-03-21";"REMA WERGELAND, Bergen, NOR";"-288,60"
"2022-03-18";"2022-03-21";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-83,95"
"2022-03-18";"2022-03-21";"SIB KAFFEBAR BI, BERGEN, NOR";"-76,20"
"2022-03-17";"2022-03-18";"SIB KAFFEBAR BI, BERGEN, NOR";"-40,80"
"2022-03-16";"2022-03-17";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-03-15";"2022-03-16";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-64,00"
"2022-03-15";"2022-03-16";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-03-15";"2022-03-15";"Innbetaling";"8528,30"
"2022-03-13";"2022-03-15";"REMA WERGELAND, Bergen, NOR";"-77,10"
"2022-03-12";"2022-03-14";"REMA WERGELAND, Bergen, NOR";"-232,22"
"2022-03-12";"2022-03-14";"BK BYSTASJ 5022, BERGEN, NOR";"-100,00"
"2022-03-11";"2022-03-14";"SIBKAFE HIBKRON, BERGEN, NOR";"-88,70"
"2022-03-10";"2022-03-11";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-163,90"
"2022-03-10";"2022-03-11";"SIB KAFFEBAR BI, BERGEN, NOR";"-49,30"
"2022-03-09";"2022-03-10";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-03-08";"2022-03-09";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-03-07";"2022-03-08";"HOPE MATSENTER, Bergen, NOR";"-183,50"
"2022-03-06";"2022-03-08";"REMA WERGELAND, Bergen, NOR";"-52,20"
"2022-03-05";"2022-03-07";"Vipps*Hakon Mydland, Oslo, NOR";"-135,00"
"2022-03-05";"2022-03-07";"HOPE MATSENTER, Bergen, NOR";"-655,47"
"2022-03-05";"2022-03-07";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-1383,70"
"2022-03-04";"2022-03-07";"Vipps*Lasse Myklebust, Oslo, NOR";"-1000,00"
"2022-03-02";"2022-03-04";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-179,80"
"2022-03-01";"2022-03-01";"Omkostninger Penger tilbake";"-10,00"
"2022-02-24";"2022-02-25";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-417,47"
"2022-02-24";"2022-02-25";"SIB KAFFEBAR BI, BERGEN, NOR";"-60,00"
"2022-02-22";"2022-02-23";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-140,96"
"2022-02-21";"2022-02-22";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-65,70"
"2022-02-21";"2022-02-23";"REMA DANMARKSPL, Bergen, NOR";"-22,90"
"2022-02-21";"2022-02-22";"Vipps*Hakon Mydland, Oslo, NOR";"-950,00"
"2022-02-21";"2022-02-22";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-02-21";"2022-02-22";"AKADEMIKA HVL, BERGEN, NOR";"-145,00"
"2022-02-21";"2022-02-22";"Wideroe 7012129909526, Bodo, NOR";"-1398,00"
"2022-02-20";"2022-02-21";"BURGER KIN 5003, BERGEN, NOR";"-325,00"
"2022-02-18";"2022-02-21";"MATKROKEN BLEKENBERG 8, BERGEN, NOR";"-179,20"
"2022-02-18";"2022-02-21";"BK BYSTASJ 5022, BERGEN, NOR";"-85,00"
"2022-02-18";"2022-02-21";"ADO ARENA., BERGEN, NOR";"-130,00"
"2022-02-17";"2022-02-18";"HOPE MATSENTER, Bergen, NOR";"-89,40"
"2022-02-17";"2022-02-18";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2022-02-16";"2022-02-17";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-143,80"
"2022-02-15";"2022-02-16";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-286,50"
"2022-02-15";"2022-02-15";"Innbetaling";"7128,35"
"2022-02-14";"2022-02-15";"HOPE MATSENTER, Bergen, NOR";"-50,00"
"2022-02-14";"2022-02-15";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-341,80"
"2022-02-12";"2022-02-14";"Ryde Technology AS, Oslo, NOR";"-12,50"
"2022-02-12";"2022-02-14";"REMA WERGELAND, Bergen, NOR";"-308,50"
"2022-02-11";"2022-02-14";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,05"
"2022-02-10";"2022-02-11";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-101,43"
"2022-02-09";"2022-02-10";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-02-08";"2022-02-09";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-599,50"
"2022-02-08";"2022-02-09";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-02-07";"2022-02-09";"REMA DANMARKSPL, Bergen, NOR";"-57,20"
"2022-02-07";"2022-02-08";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-02-05";"2022-02-07";"Vipps*Stian Skaar, Oslo, NOR";"-311,00"
"2022-02-04";"2022-02-07";"HOPE MATSENTER, Bergen, NOR";"-493,39"
"2022-02-04";"2022-02-07";"SIBKAFE HIBKRON, BERGEN, NOR";"-92,65"
"2022-02-03";"2022-02-04";"SIBKAFE HIBKRON, BERGEN, NOR";"-27,20"
"2022-02-02";"2022-02-03";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-423,80"
"2022-02-02";"2022-02-03";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,05"
"2022-02-02";"2022-02-03";"SIBKAFE HIBKRON, BERGEN, NOR";"-61,20"
"2022-02-01";"2022-02-02";"SIBKAFE HIBKRON, BERGEN, NOR";"-91,80"
"2022-02-01";"2022-02-01";"Omkostninger Penger tilbake";"-10,00"
"2022-01-31";"2022-02-02";"REMA WERGELAND, Bergen, NOR";"-371,90"
"2022-01-31";"2022-02-01";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2022-01-30";"2022-01-31";"Vipps*Sara Gjerde Lars, Oslo, NOR";"-320,00"
"2022-01-28";"2022-01-31";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-249,31"
"2022-01-27";"2022-01-28";"HOPE MATSENTER, Bergen, NOR";"-88,58"
"2022-01-26";"2022-01-27";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-604,10"
"2022-01-20";"2022-01-24";"REMA WERGELAND, Bergen, NOR";"-488,07"
"2022-01-20";"2022-01-21";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2022-01-19";"2022-01-20";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-46,19"
"2022-01-19";"2022-01-20";"HOPE MATSENTER, Bergen, NOR";"-142,80"
"2022-01-18";"2022-01-19";"EXTRA MINDE, BERGEN, NOR";"-73,20"
"2022-01-18";"2022-01-19";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2022-01-17";"2022-01-18";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-31,00"
"2022-01-16";"2022-01-17";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-158,10"
"2022-01-15";"2022-01-17";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-146,45"
"2022-01-14";"2022-01-17";"Vipps*Hakon Mydland, Oslo, NOR";"-800,00"
"2022-01-14";"2022-01-17";"Vipps*Hakon Mydland, Oslo, NOR";"-370,00"
"2022-01-14";"2022-01-17";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-526,70"
